yearMonth,Purpose,Number_of_Visitors
2003-03-01,Visiting friends/relatives,74890
2003-03-01,Holiday,199010
2003-03-01,Employment,5020
2003-03-01,Education,17260
2003-03-01,Others,44510
2003-04-01,Convention/conference,8280
2003-04-01,Business,27220
2003-04-01,Visiting friends/relatives,77500
2003-04-01,Holiday,159290
2003-04-01,Employment,4210
2003-04-01,Education,9780
2003-04-01,Others,35240
2003-05-01,Convention/conference,14800
2003-05-01,Business,33890
2003-05-01,Visiting friends/relatives,52680
2003-05-01,Holiday,119290
2003-05-01,Employment,4310
2003-05-01,Education,7950
2003-05-01,Others,27980
2003-06-01,Convention/conference,8750
2003-06-01,Business,32030
2003-06-01,Visiting friends/relatives,59850
2003-06-01,Holiday,156500
2003-06-01,Employment,5460
2003-06-01,Education,12480
2003-06-01,Others,33190
2003-07-01,Convention/conference,17280
2003-07-01,Business,36600
2003-07-01,Visiting friends/relatives,71850
2003-07-01,Holiday,197300
2003-07-01,Employment,8120
2003-07-01,Education,42030
2003-07-01,Others,42340
2003-08-01,Convention/conference,14470
2003-08-01,Business,38650
2003-08-01,Visiting friends/relatives,63970
2003-08-01,Holiday,190710
2003-08-01,Employment,8120
2003-08-01,Education,13960
2003-08-01,Others,32380
2003-09-01,Convention/conference,18260
2003-09-01,Business,40410
2003-09-01,Visiting friends/relatives,71760
2003-09-01,Holiday,197360
2003-09-01,Employment,8600
2003-09-01,Education,12940
2003-09-01,Others,36270
2003-10-01,Convention/conference,12380
2003-10-01,Business,45220
2003-10-01,Visiting friends/relatives,79420
2003-10-01,Holiday,230470
2003-10-01,Employment,9660
2003-10-01,Education,15950
2003-10-01,Others,42230
2003-11-01,Convention/conference,13670
2003-11-01,Business,49380
2003-11-01,Visiting friends/relatives,87320
2003-11-01,Holiday,262350
2003-11-01,Employment,8620
2003-11-01,Education,9690
2003-11-01,Others,42250
2003-12-01,Convention/conference,8580
2003-12-01,Business,30310
2003-12-01,Visiting friends/relatives,154120
2003-12-01,Holiday,311020
2003-12-01,Employment,8530
2003-12-01,Education,8130
2003-12-01,Others,45910
2004-01-01,Convention/conference,4720
2004-01-01,Business,32090
2004-01-01,Visiting friends/relatives,74140
2004-01-01,Holiday,219160
2004-01-01,Employment,12120
2004-01-01,Education,34900
2004-01-01,Others,43050
2004-02-01,Convention/conference,12110
2004-02-01,Business,48190
2004-02-01,Visiting friends/relatives,77650
2004-02-01,Holiday,214100
2004-02-01,Employment,10370
2004-02-01,Education,51970
2004-02-01,Others,40420
2004-03-01,Convention/conference,13140
2004-03-01,Business,48990
2004-03-01,Visiting friends/relatives,86710
2004-03-01,Holiday,219250
2004-03-01,Employment,8360
2004-03-01,Education,17260
2004-03-01,Others,38570
2004-04-01,Convention/conference,10720
2004-04-01,Business,35170
2004-04-01,Visiting friends/relatives,89280
2004-04-01,Holiday,202580
2004-04-01,Employment,8810
2004-04-01,Education,16430
2004-04-01,Others,39800
2004-05-01,Convention/conference,12620
2004-05-01,Business,44770
2004-05-01,Visiting friends/relatives,60690
2004-05-01,Holiday,170280
2004-05-01,Employment,9050
2004-05-01,Education,10100
2004-05-01,Others,33740
2004-06-01,Convention/conference,10340
2004-06-01,Business,37700
2004-06-01,Visiting friends/relatives,68900
2004-06-01,Holiday,188380
2004-06-01,Employment,9050
2004-06-01,Education,16420
2004-06-01,Others,36500
2004-07-01,Convention/conference,15770
2004-07-01,Business,40460
2004-07-01,Visiting friends/relatives,86330
2004-07-01,Holiday,243270
2004-07-01,Employment,6880
2004-07-01,Education,53030
2004-07-01,Others,21810
2004-08-01,Convention/conference,17020
2004-08-01,Business,46310
2004-08-01,Visiting friends/relatives,74280
2004-08-01,Holiday,230090
2004-08-01,Employment,6120
2004-08-01,Education,15700
2004-08-01,Others,13530
2004-09-01,Convention/conference,18140
2004-09-01,Business,42450
2004-09-01,Visiting friends/relatives,87470
2004-09-01,Holiday,211980
2004-09-01,Employment,6130
2004-09-01,Education,12210
2004-09-01,Others,15150
2004-10-01,Convention/conference,16920
2004-10-01,Business,46970
2004-10-01,Visiting friends/relatives,92630
2004-10-01,Holiday,248800
2004-10-01,Employment,7550
2004-10-01,Education,15900
2004-10-01,Others,18610
2004-11-01,Convention/conference,17700
2004-11-01,Business,53560
2004-11-01,Visiting friends/relatives,96390
2004-11-01,Holiday,275280
2004-11-01,Employment,7640
2004-11-01,Education,9850
2004-11-01,Others,17590
2004-12-01,Convention/conference,7760
2004-12-01,Business,32710
2004-12-01,Visiting friends/relatives,176430
2004-12-01,Holiday,342970
2004-12-01,Employment,7210
2004-12-01,Education,9300
2004-12-01,Others,15020
2005-01-01,Convention/conference,14080
2005-01-01,Business,36900
2005-01-01,Visiting friends/relatives,90900
2005-01-01,Holiday,244920
2005-01-01,Employment,8960
2005-01-01,Education,38530
2005-01-01,Others,22640
2005-02-01,Convention/conference,11360
2005-02-01,Business,45200
2005-02-01,Visiting friends/relatives,94010
2005-02-01,Holiday,272700
2005-02-01,Employment,6570
2005-02-01,Education,54010
2005-02-01,Others,14910
2005-03-01,Convention/conference,15520
2005-03-01,Business,45330
2005-03-01,Visiting friends/relatives,118340
2005-03-01,Holiday,279410
2005-03-01,Employment,8600
2005-03-01,Education,17710
2005-03-01,Others,17180
2005-04-01,Convention/conference,13440
2005-04-01,Business,43470
2005-04-01,Visiting friends/relatives,90410
2005-04-01,Holiday,220530
2005-04-01,Employment,6460
2005-04-01,Education,15380
2005-04-01,Others,16890
2005-05-01,Convention/conference,14550
2005-05-01,Business,48170
2005-05-01,Visiting friends/relatives,70170
2005-05-01,Holiday,185280
2005-05-01,Employment,6240
2005-05-01,Education,10460
2005-05-01,Others,16410
2005-06-01,Convention/conference,10250
2005-06-01,Business,41850
2005-06-01,Visiting friends/relatives,81770
2005-06-01,Holiday,202910
2005-06-01,Employment,7430
2005-06-01,Education,15830
2005-06-01,Others,16980
2005-07-01,Convention/conference,16150
2005-07-01,Business,45170
2005-07-01,Visiting friends/relatives,90770
2005-07-01,Holiday,254200
2005-07-01,Employment,9860
2005-07-01,Education,57580
2005-07-01,Others,23320
2005-08-01,Convention/conference,22740
2005-08-01,Business,47890
2005-08-01,Visiting friends/relatives,76010
2005-08-01,Holiday,238680
2005-08-01,Employment,11130
2005-08-01,Education,16270
2005-08-01,Others,16530
2005-09-01,Convention/conference,18690
2005-09-01,Business,44640
2005-09-01,Visiting friends/relatives,89300
2005-09-01,Holiday,216190
2005-09-01,Employment,10450
2005-09-01,Education,14670
2005-09-01,Others,18120
2005-10-01,Convention/conference,16290
2005-10-01,Business,50010
2005-10-01,Visiting friends/relatives,92370
2005-10-01,Holiday,255060
2005-10-01,Employment,13860
2005-10-01,Education,15130
2005-10-01,Others,19150
2005-11-01,Convention/conference,22860
2005-11-01,Business,56410
2005-11-01,Visiting friends/relatives,95660
2005-11-01,Holiday,252280
2005-11-01,Employment,11950
2005-11-01,Education,11400
2005-11-01,Others,20100
2005-12-01,Convention/conference,6770
2005-12-01,Business,33740
2005-12-01,Visiting friends/relatives,185650
2005-12-01,Holiday,333520
2005-12-01,Employment,14010
2005-12-01,Education,11140
2005-12-01,Others,14420
2006-01-01,Convention/conference,6980
2006-01-01,Business,38710
2006-01-01,Visiting friends/relatives,89210
2006-01-01,Holiday,256660
2006-01-01,Employment,14700
2006-01-01,Education,35310
2006-01-01,Others,19820
2006-02-01,Convention/conference,14020
2006-02-01,Business,51440
2006-02-01,Visiting friends/relatives,90190
2006-02-01,Holiday,237060
2006-02-01,Employment,12200
2006-02-01,Education,60850
2006-02-01,Others,19250
2006-03-01,Convention/conference,13730
2006-03-01,Business,53620
2006-03-01,Visiting friends/relatives,103700
2006-03-01,Holiday,246760
2006-03-01,Employment,12690
2006-03-01,Education,18180
2006-03-01,Others,24760
2006-04-01,Convention/conference,12580
2006-04-01,Business,43620
2006-04-01,Visiting friends/relatives,107870
2006-04-01,Holiday,226260
2006-04-01,Employment,12930
2006-04-01,Education,16100
2006-04-01,Others,15680
2006-05-01,Convention/conference,14090
2006-05-01,Business,50290
2006-05-01,Visiting friends/relatives,67410
2006-05-01,Holiday,172090
2006-05-01,Employment,12650
2006-05-01,Education,11250
2006-05-01,Others,15160
2006-06-01,Convention/conference,16590
2006-06-01,Business,43670
2006-06-01,Visiting friends/relatives,82450
2006-06-01,Holiday,188360
2006-06-01,Employment,12850
2006-06-01,Education,18070
