yearMonth,Purpose,Number_of_Visitors
2021-12-01,Education,5410
2021-12-01,Others,4710
2022-01-01,Convention/conference,470
2022-01-01,Business,2550
2022-01-01,Visiting friends/relatives,35940
2022-01-01,Holiday,4070
2022-01-01,Employment,4860
2022-01-01,Education,8810
2022-01-01,Others,4070
2022-02-01,Convention/conference,920
2022-02-01,Business,4840
2022-02-01,Visiting friends/relatives,49830
2022-02-01,Holiday,6340
2022-02-01,Employment,5450
2022-02-01,Education,18390
2022-02-01,Others,4690
2022-03-01,Convention/conference,2640
2022-03-01,Business,14310
2022-03-01,Visiting friends/relatives,104650
2022-03-01,Holiday,22510
2022-03-01,Employment,8490
2022-03-01,Education,11190
2022-03-01,Others,6450
2022-04-01,Convention/conference,3280
2022-04-01,Business,16120
2022-04-01,Visiting friends/relatives,146440
2022-04-01,Holiday,42600
2022-04-01,Employment,9430
2022-04-01,Education,9510
2022-04-01,Others,8070
2022-05-01,Convention/conference,9200
2022-05-01,Business,26470
2022-05-01,Visiting friends/relatives,114360
2022-05-01,Holiday,50640
2022-05-01,Employment,10750
2022-05-01,Education,11700
2022-05-01,Others,8370
2022-06-01,Convention/conference,7740
2022-06-01,Business,22710
2022-06-01,Visiting friends/relatives,133610
2022-06-01,Holiday,76490
2022-06-01,Employment,11510
2022-06-01,Education,13900
2022-06-01,Others,9340
2022-07-01,Convention/conference,8860
2022-07-01,Business,24060
2022-07-01,Visiting friends/relatives,140080
2022-07-01,Holiday,93620
2022-07-01,Employment,11400
2022-07-01,Education,36760
2022-07-01,Others,10890
2022-08-01,Convention/conference,17080
2022-08-01,Business,29190
2022-08-01,Visiting friends/relatives,148450
2022-08-01,Holiday,104140
2022-08-01,Employment,15190
2022-08-01,Education,20940
2022-08-01,Others,13440
2022-09-01,Convention/conference,17030
2022-09-01,Business,29650
2022-09-01,Visiting friends/relatives,160560
2022-09-01,Holiday,111980
2022-09-01,Employment,17500
2022-09-01,Education,18860
2022-09-01,Others,16270
2022-10-01,Convention/conference,18660
2022-10-01,Business,35400
2022-10-01,Visiting friends/relatives,167770
2022-10-01,Holiday,157810
2022-10-01,Employment,17860
2022-10-01,Education,16290
2022-10-01,Others,16690
2022-11-01,Convention/conference,22050
2022-11-01,Business,42410
2022-11-01,Visiting friends/relatives,210980
2022-11-01,Holiday,173340
2022-11-01,Employment,20780
2022-11-01,Education,16730
2022-11-01,Others,18940
2022-12-01,Convention/conference,11900
2022-12-01,Business,19700
2022-12-01,Visiting friends/relatives,355010
2022-12-01,Holiday,212810
2022-12-01,Employment,16740
2022-12-01,Education,16800
2022-12-01,Others,16010
2023-01-01,Convention/conference,11570
2023-01-01,Business,21480
2023-01-01,Visiting friends/relatives,143080
2023-01-01,Holiday,160540
2023-01-01,Employment,27350
2023-01-01,Education,30920
2023-01-01,Others,17480
2023-02-01,Convention/conference,16740
2023-02-01,Business,40750
2023-02-01,Visiting friends/relatives,201350
2023-02-01,Holiday,218480
2023-02-01,Employment,25640
2023-02-01,Education,74340
2023-02-01,Others,23400
2023-03-01,Convention/conference,19930
2023-03-01,Business,46850
2023-03-01,Visiting friends/relatives,242070
2023-03-01,Holiday,229680
2023-03-01,Employment,24440
2023-03-01,Education,28520
2023-03-01,Others,21840
2023-04-01,Convention/conference,12690
2023-04-01,Business,30890
2023-04-01,Visiting friends/relatives,222680
2023-04-01,Holiday,213040
2023-04-01,Employment,20950
2023-04-01,Education,25220
2023-04-01,Others,19460
2023-05-01,Convention/conference,28260
2023-05-01,Business,41850
2023-05-01,Visiting friends/relatives,182590
2023-05-01,Holiday,195700
2023-05-01,Employment,21500
2023-05-01,Education,24460
2023-05-01,Others,17970
2023-06-01,Convention/conference,19930
2023-06-01,Business,35900
2023-06-01,Visiting friends/relatives,200990
2023-06-01,Holiday,217640
2023-06-01,Employment,22860
2023-06-01,Education,24920
2023-06-01,Others,19840
2023-07-01,Convention/conference,22850
2023-07-01,Business,40370
2023-07-01,Visiting friends/relatives,184060
2023-07-01,Holiday,253770
2023-07-01,Employment,20070
2023-07-01,Education,75610
2023-07-01,Others,28390
2023-08-01,Convention/conference,22290
2023-08-01,Business,36100
2023-08-01,Visiting friends/relatives,198430
2023-08-01,Holiday,267700
2023-08-01,Employment,23180
2023-08-01,Education,33650
2023-08-01,Others,22010
2023-09-01,Convention/conference,23570
2023-09-01,Business,35510
2023-09-01,Visiting friends/relatives,205360
2023-09-01,Holiday,239530
2023-09-01,Employment,26620
2023-09-01,Education,28290
2023-09-01,Others,25740
2023-10-01,Convention/conference,28730
2023-10-01,Business,44810
2023-10-01,Visiting friends/relatives,203690
2023-10-01,Holiday,252630
2023-10-01,Employment,26170
2023-10-01,Education,24500
2023-10-01,Others,27410
2023-11-01,Convention/conference,23530
2023-11-01,Business,47450
2023-11-01,Visiting friends/relatives,236280
2023-11-01,Holiday,278460
2023-11-01,Employment,28030
2023-11-01,Education,21720
2023-11-01,Others,28290
2023-12-01,Convention/conference,12460
2023-12-01,Business,23460
2023-12-01,Visiting friends/relatives,407450
2023-12-01,Holiday,357880
2023-12-01,Employment,20820
2023-12-01,Education,23090
2023-12-01,Others,31710
2024-01-01,Convention/conference,7210
2024-01-01,Business,28050
2024-01-01,Visiting friends/relatives,186650
2024-01-01,Holiday,262700
2024-01-01,Employment,39980
2024-01-01,Education,50770
2024-01-01,Others,28410
2024-02-01,Convention/conference,17790
2024-02-01,Business,44180
2024-02-01,Visiting friends/relatives,242720
2024-02-01,Holiday,391080
2024-02-01,Employment,31150
2024-02-01,Education,101120
2024-02-01,Others,29910
2024-03-01,Convention/conference,19610
2024-03-01,Business,43920
2024-03-01,Visiting friends/relatives,274720
2024-03-01,Holiday,334530
2024-03-01,Employment,29530
2024-03-01,Education,30810
2024-03-01,Others,27920
2024-04-01,Convention/conference,15030
2024-04-01,Business,39240
2024-04-01,Visiting friends/relatives,199380
2024-04-01,Holiday,256830
2024-04-01,Employment,25760
2024-04-01,Education,31800
2024-04-01,Others,25050
2024-05-01,Convention/conference,23830
2024-05-01,Business,44380
2024-05-01,Visiting friends/relatives,197920
2024-05-01,Holiday,258760
2024-05-01,Employment,24820
2024-05-01,Education,26400
2024-05-01,Others,24680
2024-06-01,Convention/conference,27720
2024-06-01,Business,35350
2024-06-01,Visiting friends/relatives,203340
2024-06-01,Holiday,250020
2024-06-01,Employment,24140
2024-06-01,Education,25940
2024-06-01,Others,21250
2024-07-01,Convention/conference,18640
2024-07-01,Business,35560
2024-07-01,Visiting friends/relatives,191260
2024-07-01,Holiday,284280
2024-07-01,Employment,21710
2024-07-01,Education,84140
2024-07-01,Others,23380
